task,"pref(0,1,2)"
sun_AM_clean,0
sun_cook_1,0
sun_PM_clean_1,0
sun_PM_clean_2,0
mon_AM_clean,0
mon_cook_1,0
mon_PM_clean_1,0
mon_PM_clean_2,0
tue_AM_clean,0
tue_cook_1,0
tue_PM_clean_1,0
tue_PM_clean_2,0
wed_AM_clean,0
wed_cook_1,0
wed_PM_clean_1,0
wed_PM_clean_2,0
thu_AM_clean,0
thu_cook_1,0
thu_PM_clean_1,0
thu_PM_clean_2,0
fri_AM_clean,0
sat_AM_clean,0
membership,0
corporate_finance,0
finance_magician,0
food_mgr,0
chore_e_ographer,0
maintenance_1,1
maintenance_2,1
rags_1,1
rags_2,1
appliance_clean,1
afternoon_dishwasher_run,1
outdoor_fridge,1
right_fridge,1
floor1_clean,1
floor2_clean,1
floor3_clean,1
floor3_deck_clean,1
studio_clean,1
mail_bringin_sort,1
snack_maker,1
deep_clean,1
organize_kitchen_shelves,1
drain/fill_hot_tub,1
vacuum_stairs_kitchen_and_main,1
ewaste_remover,1
free_pile_donator,1
duster_or_cobweb_sweeper,1
urban_ore_dump_run,1
window_cleaning,1
kitchen_mop,1
patio_clean,1
laundry_area_clean,1
kitchen_bathroom,1
downstairs_bathroom,1
upstairs_bathroom,1
dummy_chore,1
assistant_chore_e_ographer,1
